  步骤 |    当前栈顶    |     当前串首     |   推导所用产生式                 
------------------------------------------------------------------------------
     1        <函数定义>               type    <函数定义> -> <类型> <变量> ( <参数声明> ) { <函数块> }
   257                 +                  +    “+”匹配
   258            <因子>                 id    <因子> -> <因式> <因式递归>
   259            <因式>                 id    <因式> -> <变量>
   260            <变量>                 id    <变量> -> <标志符> <数组下标>
   261          <标志符>                 id    <标志符> -> id
   262                id                 id    “id”匹配
   263        <数组下标>                  %    <数组下标> -> @
   264        <因式递归>                  %    <因式递归> -> % <因式> <因式递归>
   265                 %                  %    “%”匹配
   266            <因式>             number    <因式> -> <数字>
   267            <数字>             number    <数字> -> number
   268            number             number    “number”匹配
   269        <因式递归>                  ;    <因式递归> -> @
   270              <项>                  ;    <项> -> @
   271                 ;                  ;    “;”匹配
   272      <函数块闭包>                 id    <函数块闭包> -> <赋值函数> <函数块闭包>
   273        <赋值函数>                 id    <赋值函数> -> <变量> <赋值或函数调用>
   274            <变量>                 id    <变量> -> <标志符> <数组下标>
   275          <标志符>                 id    <标志符> -> id
   276                id                 id    “id”匹配
   277        <数组下标>                  =    <数组下标> -> @
   278  <赋值或函数调用>                  =    <赋值或函数调用> -> = <右值> ;
   279                 =                  =    “=”匹配
   280            <右值>                 id    <右值> -> <表达式>
   281          <表达式>                 id    <表达式> -> <因子> <项>
   282            <因子>                 id    <因子> -> <因式> <因式递归>
   283            <因式>                 id    <因式> -> <变量>
   284            <变量>                 id    <变量> -> <标志符> <数组下标>
   285          <标志符>                 id    <标志符> -> id
   286                id                 id    “id”匹配
   287        <数组下标>                  /    <数组下标> -> @
   288        <因式递归>                  /    <因式递归> -> / <因式> <因式递归>
   289                 /                  /    “/”匹配
   290            <因式>             number    <因式> -> <数字>
   291            <数字>             number    <数字> -> number
   292            number             number    “number”匹配
   293        <因式递归>                  ;    <因式递归> -> @
   294              <项>                  ;    <项> -> @
   295                 ;                  ;    “;”匹配
   296      <函数块闭包>                  }    <函数块闭包> -> @
   297                 }                  }    “}”匹配
   298      <函数块闭包>                for    <函数块闭包> -> <for循环> <函数块闭包>
   299         <for循环>                for    <for循环> -> for ( <赋值函数>  <逻辑表达式> ; <后缀表达式> ) { <函数块> }
   300               for                for    “for”匹配
   301                 (                  (    “(”匹配
   302        <赋值函数>                 id    <赋值函数> -> <变量> <赋值或函数调用>
   303            <变量>                 id    <变量> -> <标志符> <数组下标>
   304          <标志符>                 id    <标志符> -> id
   305                id                 id    “id”匹配
   306        <数组下标>                  =    <数组下标> -> @
   307  <赋值或函数调用>                  =    <赋值或函数调用> -> = <右值> ;
   308                 =                  =    “=”匹配
   309            <右值>             number    <右值> -> <表达式>
   310          <表达式>             number    <表达式> -> <因子> <项>
   311            <因子>             number    <因子> -> <因式> <因式递归>
   312            <因式>             number    <因式> -> <数字>
   313            <数字>             number    <数字> -> number
   314            number             number    “number”匹配
   315        <因式递归>                  ;    <因式递归> -> @
   316              <项>                  ;    <项> -> @
   317                 ;                  ;    “;”匹配
   318      <逻辑表达式>                 id    <逻辑表达式> -> <表达式> <逻辑运算符> <表达式>
   319          <表达式>                 id    <表达式> -> <因子> <项>
   320            <因子>                 id    <因子> -> <因式> <因式递归>
   321            <因式>                 id    <因式> -> <变量>
   322            <变量>                 id    <变量> -> <标志符> <数组下标>
   323          <标志符>                 id    <标志符> -> id
   324                id                 id    “id”匹配
   325        <数组下标>                  >    <数组下标> -> @
   326        <因式递归>                  >    <因式递归> -> @
   327              <项>                  >    <项> -> @
   328      <逻辑运算符>                  >    <逻辑运算符> -> >
   329                 >                  >    “>”匹配
   330          <表达式>             number    <表达式> -> <因子> <项>
   331            <因子>             number    <因子> -> <因式> <因式递归>
   332            <因式>             number    <因式> -> <数字>
   333            <数字>             number    <数字> -> number
   334            number             number    “number”匹配
   335        <因式递归>                  ;    <因式递归> -> @
   336              <项>                  ;    <项> -> @
   337                 ;                  ;    “;”匹配
   338      <后缀表达式>                 id    <后缀表达式> -> <变量> <后缀运算符>
   339            <变量>                 id    <变量> -> <标志符> <数组下标>
   340          <标志符>                 id    <标志符> -> id
   341                id                 id    “id”匹配
   342        <数组下标>                 --    <数组下标> -> @
   343      <后缀运算符>                 --    <后缀运算符> -> --
   344                --                 --    “--”匹配
   345                 )                  )    “)”匹配
   346                 {                  {    “{”匹配
   347          <函数块>                 id    <函数块> -> <声明语句闭包> <函数块闭包>
   348    <声明语句闭包>                 id    <声明语句闭包> -> @
   349      <函数块闭包>                 id    <函数块闭包> -> <赋值函数> <函数块闭包>
   350        <赋值函数>                 id    <赋值函数> -> <变量> <赋值或函数调用>
   351            <变量>                 id    <变量> -> <标志符> <数组下标>
   352          <标志符>                 id    <标志符> -> id
   353                id                 id    “id”匹配
   354        <数组下标>                  =    <数组下标> -> @
   355  <赋值或函数调用>                  =    <赋值或函数调用> -> = <右值> ;
   356                 =                  =    “=”匹配
   357            <右值>                 id    <右值> -> <表达式>
   358          <表达式>                 id    <表达式> -> <因子> <项>
   359            <因子>                 id    <因子> -> <因式> <因式递归>
   360            <因式>                 id    <因式> -> <变量>
   361            <变量>                 id    <变量> -> <标志符> <数组下标>
   362          <标志符>                 id    <标志符> -> id
   363                id                 id    “id”匹配
   364        <数组下标>                  +    <数组下标> -> @
   365        <因式递归>                  +    <因式递归> -> @
   366              <项>                  +    <项> -> + <因子> <项>
   367                 +                  +    “+”匹配
   368            <因子>             number    <因子> -> <因式> <因式递归>
   369            <因式>             number    <因式> -> <数字>
   370            <数字>             number    <数字> -> number
   371            number             number    “number”匹配
   372        <因式递归>                  ;    <因式递归> -> @
   373              <项>                  ;    <项> -> @
   374                 ;                  ;    “;”匹配
   375      <函数块闭包>                 if    <函数块闭包> -> <条件语句> <函数块闭包>
   376        <条件语句>                 if    <条件语句> -> if ( <逻辑表达式> ) { <函数块> } <否则语句>
   377                if                 if    “if”匹配
   378                 (                  (    “(”匹配
   379      <逻辑表达式>                 id    <逻辑表达式> -> <表达式> <逻辑运算符> <表达式>
   380          <表达式>                 id    <表达式> -> <因子> <项>
   381            <因子>                 id    <因子> -> <因式> <因式递归>
   382            <因式>                 id    <因式> -> <变量>
   383            <变量>                 id    <变量> -> <标志符> <数组下标>
   384          <标志符>                 id    <标志符> -> id
   385                id                 id    “id”匹配
   386        <数组下标>                  <    <数组下标> -> @
   387        <因式递归>                  <    <因式递归> -> @
   388              <项>                  <    <项> -> @
   389      <逻辑运算符>                  <    <逻辑运算符> -> <
   390                 <                  <    “<”匹配
   391          <表达式>             number    <表达式> -> <因子> <项>
   392            <因子>             number    <因子> -> <因式> <因式递归>
   393            <因式>             number    <因式> -> <数字>
   394            <数字>             number    <数字> -> number
   395            number             number    “number”匹配
   396        <因式递归>                  )    <因式递归> -> @
   397              <项>                  )    <项> -> @
   398                 )                  )    “)”匹配
   399                 {                  {    “{”匹配
   400          <函数块>                 id    <函数块> -> <声明语句闭包> <函数块闭包>
   401    <声明语句闭包>                 id    <声明语句闭包> -> @
   402      <函数块闭包>                 id    <函数块闭包> -> <赋值函数> <函数块闭包>
   403        <赋值函数>                 id    <赋值函数> -> <变量> <赋值或函数调用>
   404            <变量>                 id    <变量> -> <标志符> <数组下标>
   405          <标志符>                 id    <标志符> -> id
   406                id                 id    “id”匹配
   407        <数组下标>                  =    <数组下标> -> @
   408  <赋值或函数调用>                  =    <赋值或函数调用> -> = <右值> ;
   409                 =                  =    “=”匹配
   410            <右值>                 id    <右值> -> <表达式>
   411          <表达式>                 id    <表达式> -> <因子> <项>
   412            <因子>                 id    <因子> -> <因式> <因式递归>
   413            <因式>                 id    <因式> -> <变量>
   414            <变量>                 id    <变量> -> <标志符> <数组下标>
   415          <标志符>                 id    <标志符> -> id
   416                id                 id    “id”匹配
   417        <数组下标>                  +    <数组下标> -> @
   418        <因式递归>                  +    <因式递归> -> @
   419              <项>                  +    <项> -> + <因子> <项>
   420                 +                  +    “+”匹配
   421            <因子>             number    <因子> -> <因式> <因式递归>
   422            <因式>             number    <因式> -> <数字>
   423            <数字>             number    <数字> -> number
   424            number             number    “number”匹配
   425        <因式递归>                  ;    <因式递归> -> @
   426              <项>                  ;    <项> -> @
   427                 ;                  ;    “;”匹配
   428      <函数块闭包>                 id    <函数块闭包> -> <赋值函数> <函数块闭包>
   429        <赋值函数>                 id    <赋值函数> -> <变量> <赋值或函数调用>
   430            <变量>                 id    <变量> -> <标志符> <数组下标>
   431          <标志符>                 id    <标志符> -> id
   432                id                 id    “id”匹配
   433        <数组下标>                  =    <数组下标> -> @
   434  <赋值或函数调用>                  =    <赋值或函数调用> -> = <右值> ;
   435                 =                  =    “=”匹配
   436            <右值>                 id    <右值> -> <表达式>
   437          <表达式>                 id    <表达式> -> <因子> <项>
   438            <因子>                 id    <因子> -> <因式> <因式递归>
   439            <因式>                 id    <因式> -> <变量>
   440            <变量>                 id    <变量> -> <标志符> <数组下标>
   441          <标志符>                 id    <标志符> -> id
   442                id                 id    “id”匹配
   443        <数组下标>                  +    <数组下标> -> @
   444        <因式递归>                  +    <因式递归> -> @
   445              <项>                  +    <项> -> + <因子> <项>
   446                 +                  +    “+”匹配
   447            <因子>             number    <因子> -> <因式> <因式递归>
   448            <因式>             number    <因式> -> <数字>
   449            <数字>             number    <数字> -> number
   450            number             number    “number”匹配
   451        <因式递归>                  ;    <因式递归> -> @
   452              <项>                  ;    <项> -> @
   453                 ;                  ;    “;”匹配
   454      <函数块闭包>                  }    <函数块闭包> -> @
   455                 }                  }    “}”匹配
   456        <否则语句>               else    <否则语句> -> else { <函数块> }
   457              else               else    “else”匹配
   458                 {                  {    “{”匹配
   459          <函数块>                 id    <函数块> -> <声明语句闭包> <函数块闭包>
   460    <声明语句闭包>                 id    <声明语句闭包> -> @
   461      <函数块闭包>                 id    <函数块闭包> -> <赋值函数> <函数块闭包>
   462        <赋值函数>                 id    <赋值函数> -> <变量> <赋值或函数调用>
   463            <变量>                 id    <变量> -> <标志符> <数组下标>
   464          <标志符>                 id    <标志符> -> id
   465                id                 id    “id”匹配
   466        <数组下标>                  =    <数组下标> -> @
   467  <赋值或函数调用>                  =    <赋值或函数调用> -> = <右值> ;
   468                 =                  =    “=”匹配
   469            <右值>                 id    <右值> -> <表达式>
   470          <表达式>                 id    <表达式> -> <因子> <项>
   471            <因子>                 id    <因子> -> <因式> <因式递归>
   472            <因式>                 id    <因式> -> <变量>
   473            <变量>                 id    <变量> -> <标志符> <数组下标>
   474          <标志符>                 id    <标志符> -> id
   475                id                 id    “id”匹配
   476        <数组下标>                  -    <数组下标> -> @
   477        <因式递归>                  -    <因式递归> -> @
   478              <项>                  -    <项> -> - <因子> <项>
   479                 -                  -    “-”匹配
   480            <因子>             number    <因子> -> <因式> <因式递归>
   481            <因式>             number    <因式> -> <数字>
   482            <数字>             number    <数字> -> number
   483            number             number    “number”匹配
   484        <因式递归>                  ;    <因式递归> -> @
   485              <项>                  ;    <项> -> @
   486                 ;                  ;    “;”匹配
   487      <函数块闭包>                  }    <函数块闭包> -> @
   488                 }                  }    “}”匹配
   489      <函数块闭包>                  }    <函数块闭包> -> @
   490                 }                  }    “}”匹配
   491      <函数块闭包>               cout    <函数块闭包> -> <赋值函数> <函数块闭包>
   492        <赋值函数>               cout    <赋值函数> -> cout <cout闭包> ;
   493              cout               cout    “cout”匹配
   494        <cout闭包>                 <<    <cout闭包> -> << <表达式> <cout闭包>
   495                <<                 <<    “<<”匹配
   496          <表达式>                 id    <表达式> -> <因子> <项>
   497            <因子>                 id    <因子> -> <因式> <因式递归>
   498            <因式>                 id    <因式> -> <变量>
   499            <变量>                 id    <变量> -> <标志符> <数组下标>
   500          <标志符>                 id    <标志符> -> id
   501                id                 id    “id”匹配
   502        <数组下标>                  ;    <数组下标> -> @
   503        <因式递归>                  ;    <因式递归> -> @
   504              <项>                  ;    <项> -> @
   505        <cout闭包>                  ;    <cout闭包> -> @
   506                 ;                  ;    “;”匹配
   507      <函数块闭包>             return    <函数块闭包> -> <函数返回> <函数块闭包>
   508        <函数返回>             return    <函数返回> -> return <因式> ;
   509            return             return    “return”匹配
   510            <因式>             number    <因式> -> <数字>
   511            <数字>             number    <数字> -> number
   512            number             number    “number”匹配
   513                 ;                  ;    “;”匹配
   514      <函数块闭包>                  }    <函数块闭包> -> @
   515                 }                  }    “}”匹配
   516                 #                  #    接受


-->LL(1)合法句子

